PL,MenDel.Name,Category
PL241,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxAandSox2DHS24,Sub-DHS Level
PL242,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxBandSox2DHS24,Sub-DHS Level
PL243,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxCandSox2DHS24,Sub-DHS Level
PL244,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxDandSox2DHS24,Sub-DHS Level
PL245,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxAandSox2DHS24~dNuclearreceptorandSox,Sub-DHS Level
PL246,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxBandSox2DHS24~dNuclearreceptorandSox,Sub-DHS Level
PL247,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxCandSox2DHS24~dNuclearreceptorandSox,Sub-DHS Level
PL248,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxDandSox2DHS24~dNuclearreceptorandSox,Sub-DHS Level
PL249,EnhancerCluster_TF_Sox2DHS19~d3TFBSandSox2DHS24,Sub-DHS Level
PL250,EnhancerCluster_TF_Sox2DHS24~2xNuclearreceptorandSoxE,Sub-DHS Level
PL251,EnhancerCluster_TF_Sox2DHS24~2xNuclearreceptorandSoxF,Sub-DHS Level
PL252,EnhancerCluster_TF_Sox2DHS24~2xNuclearreceptorandSoxG,Sub-DHS Level
PL253,EnhancerCluster_TF_Sox2DHS23andSox2DHS24~2xNuclearreceptorandSoxE,Sub-DHS Level
PL254,EnhancerCluster_TF_Sox2DHS23andSox2DHS24~2xNuclearreceptorandSoxF,Sub-DHS Level
PL255,EnhancerCluster_TF_Sox2DHS23andSox2DHS24~2xNuclearreceptorandSoxG,Sub-DHS Level
PL256,EnhancerCluster_Single_Prdm14DHS52dn,DHS Level
PL257,EnhancerCluster_Single_Prdm14DHS57dn,DHS Level
PL258,EnhancerCluster_Single_Prdm14DHS50dn,DHS Level
PL259,EnhancerCluster_Single_Prdm14DHS22dn,DHS Level
PL260,EnhancerCluster_Pair_Sox2DHS23andPrdm14DHS52dn,DHS Level
PL261,EnhancerCluster_Pair_Sox2DHS23andPrdm14DHS57dn,DHS Level
PL262,EnhancerCluster_Pair_Sox2DHS23andPrdm14DHS50dn,DHS Level
PL263,EnhancerCluster_Pair_Sox2DHS23andPrdm14DHS22dn,DHS Level
PL264,EnhancerCluster_Pair_Sox2DHS24andPrdm14DHS52dn,DHS Level
PL265,EnhancerCluster_Pair_Sox2DHS24andPrdm14DHS57dn,DHS Level
PL266,EnhancerCluster_Pair_Sox2DHS24andPrdm14DHS50dn,DHS Level
PL267,EnhancerCluster_Pair_Sox2DHS24andPrdm14DHS22dn,DHS Level
PL269,EnhancerCluster_HPRT1Rspacer_Sox2DHS19andSox2DHS24,DHS Level
PL270,EnhancerCluster_Nanog_DHS48upToDHS37up,DHS Level
PL271,EnhancerCluster_Nanog_DHS20upToDHS3up,DHS Level
PL273,Prdm14_Prdm14_DHS66dnToDHS22dn,DHS Level
PL274,EnhancerCluster_Sall1_DHS55dnToDHS27dn,DHS Level
PL275,EnhancerCluster_Sall1_DHS53~52~46~42~40~39~37~36~32~28~27,DHS Level
PL276,EnhancerCluster_Single_Sall1DHS52dnAndSall1DHS53dn,DHS Level
PL277,EnhancerCluster_Single_Sall1DHS46dn,DHS Level
PL278,EnhancerCluster_Single_Sall1DHS42dn,DHS Level
PL279,EnhancerCluster_Single_Sall1DHS39dnAndSall1DHS40dn,DHS Level
PL280,EnhancerCluster_Single_Sall1DHS36dnAndSall1DHS37dn,DHS Level
PL281,EnhancerCluster_Single_Sall1DHS32dn,DHS Level
PL282,EnhancerCluster_Single_Sall1DHS27dnAndSall1DHS28dn,DHS Level
PL283,EnhancerCluster_Pair_Sox2DHS24andSall1DHS52dnAndSall1DHS53dn,DHS Level
PL284,EnhancerCluster_Pair_Sox2DHS24andSall1DHS46dn,DHS Level
PL285,EnhancerCluster_Pair_Sox2DHS24andSall1DHS42dn,DHS Level
PL286,EnhancerCluster_Pair_Sox2DHS24andSall1DHS39dnAndSall1DHS40dn,DHS Level
PL287,EnhancerCluster_Pair_Sox2DHS24andSall1DHS36dnAndSall1DHS37dn,DHS Level
PL288,EnhancerCluster_Pair_Sox2DHS24andSall1DHS32dn,DHS Level
PL289,EnhancerCluster_Pair_Sox2DHS24andSall1DHS27dnAndSall1DHS28dn,DHS Level
PL300,EnhancerCluster_Pair_Sox2DHS23andSall1DHS52dnAndSall1DHS53dn,DHS Level
